Primary Question,Alternative Phrasing 1,Alternative Phrasing 2,Required Parameters,SQL Query (Existing or Recovered),Testing Parameter,Bridge Tool Mapping,Suggested Tool Name,Tool Description
Which clients have the greatest delivery exposure across active projects?,"Rank clients by project value, unhealthy RAG, overdue work, risks, and issues.",Where is client relationship risk concentrated?,as_of_date; top_n,,,NL2SQL Candidate,get_client_delivery_exposure,"Intended to rank clients by delivery exposure across active projects. NO FIXED SQL - NL2SQL candidate, and it depends on the unverified client_id int-to-varchar join. Params: as_of_date, top_n. Report both blockers rather than approximating by project type."
"Which project types, business models, sources, or categories have the highest delay and overrun rates?",Compare delivery performance across portfolio segments.,Which types of work are structurally underperforming?,period; segment_dimension; minimum_project_count,"SELECT
    p.project_type,

    COUNT(DISTINCT p.project_id) AS total_projects,

    SUM(
        CASE
            WHEN p.end_date < CURDATE() THEN 1
            ELSE 0
        END
    ) AS overdue_projects,

    ROUND(
        AVG(
            CASE
                WHEN p.estimate > 0
                THEN ((p.total_hours_booked - p.estimate) / p.estimate) * 100
            END
        ),
        2
    ) AS avg_effort_variance,

    COUNT(DISTINCT i.issue_id) AS issue_count,

    COUNT(DISTINCT r.risk_id) AS risk_count

FROM tbl_projects p

LEFT JOIN tbl_project_issues i
    ON p.project_id = i.project_id
    AND i.status = 1

LEFT JOIN tbl_risk r
    ON p.project_id = r.project_id
    AND r.status = 1

WHERE
    p.status = 1
    AND p.archive = 0

GROUP BY
    p.project_type

HAVING
    COUNT(DISTINCT p.project_id) >= 2

ORDER BY
    overdue_projects DESC,
    avg_effort_variance DESC;",,Tool,get_delay_rates_by_segment,"Compares delivery performance across portfolio segments - project count, overdue projects, average effort overrun. Params: period, segment_dimension, minimum_project_count. The published SQL groups by project_type; other dimensions need the GROUP BY swapped."
Which high-value projects have unresolved governance or audit gaps?,Show projects with pending/review audit status and high deal value.,Where are governance gaps creating material exposure?,deal_value_threshold; as_of_date,"SELECT
    project_id,
    title AS project_name,
    deal_value,
    rag,
    audit_status,
    project_status_id,
    project_stage_id,
    discovery_phase,
    project_initiation,
    project_execution,
    project_closure

FROM tbl_projects

WHERE
    status = 1
    AND archive = 0
    AND deal_value >= :10000
    AND (
            audit_status <> 'confirm'
         OR audit_status IS NULL
         OR discovery_phase IS NULL
         OR discovery_phase = ''
         OR project_initiation IS NULL
         OR project_initiation = ''
         OR project_execution IS NULL
         OR project_execution = ''
         OR project_closure IS NULL
         OR project_closure = ''
        )

ORDER BY
    deal_value DESC,
    rag DESC;",,Tool,get_governance_gap_projects,"Lists high-value active projects with unresolved governance or audit gaps, with audit status and the delivery phase flags. Use for governance exposure on the biggest projects. Params: deal_value_threshold, as_of_date."
Which active projects have stale or missing executive summaries?,Show projects without a recent management update.,Which projects have not provided an executive summary within :days days?,days; as_of_date,"SELECT
    p.project_id,
    p.title,
    p.deal_value,
    p.rag,

    MAX(es.post_date) AS latest_summary,

    DATEDIFF(
        :as_of_date,
        MAX(es.post_date)
    ) AS days_since_update

FROM tbl_projects p

LEFT JOIN tbl_project_executive_summary es
ON p.project_id=es.project_id

WHERE
    p.status=1
    AND p.archive=0

GROUP BY
    p.project_id,
    p.title,
    p.deal_value,
    p.rag

HAVING
    MAX(es.post_date) IS NULL
    OR DATEDIFF(
            :as_of_date,
            MAX(es.post_date)
        )>:days

ORDER BY
    days_since_update DESC,
    p.deal_value DESC;",,Tool,get_stale_executive_summary_projects,"Lists active projects whose latest executive summary is missing or older than N days, with days since update. Use for which projects have not reported. Params: days, as_of_date. To read the summary itself use get_project_latest_executive_summary."
Where does reported client mood conflict with objective project health indicators?,Find projects showing positive client mood but deteriorating delivery KPIs.,Which projects have a narrative-versus-data mismatch?,period; mismatch_rules,,,NL2SQL Candidate,get_client_mood_vs_health_mismatch,"Intended to find projects where reported client mood contradicts objective delivery health. NO FIXED SQL - NL2SQL candidate: the mismatch rules are caller-defined. Params: period, mismatch_rules. Client mood per project comes from get_project_latest_executive_summary."
"What is the quarterly trend of projects started, due, completed, and overdue?",Show portfolio inflow and delivery outcomes by quarter.,Is the organisation taking on work faster than it completes it?,start_date; end_date; completion_status_types,"SELECT

YEAR(start_date) AS project_year,

QUARTER(start_date) AS project_quarter,

COUNT(project_id) AS projects_started,

SUM(
CASE
WHEN end_date BETWEEN :start_date AND :end_date
THEN 1
ELSE 0
END
) AS projects_due,

SUM(
CASE
WHEN project_status_id IN (:completion_status_types)
THEN 1
ELSE 0
END
) AS completed_projects,

SUM(
CASE
WHEN end_date<:end_date
AND project_status_id NOT IN (:completion_status_types)
THEN 1
ELSE 0
END
) AS overdue_projects

FROM tbl_projects

WHERE
status=1
AND archive=0
AND start_date BETWEEN :start_date AND :end_date

GROUP BY
YEAR(start_date),
QUARTER(start_date)

ORDER BY
project_year,
project_quarter;",,Tool,get_quarterly_project_trend,"Returns quarterly counts of projects started, due, completed and overdue. Use for intake-versus-delivery trend questions. Params: start_date, end_date, completion_status_types."
Which projects have remained in the same delivery stage for too long?,Show stage aging across active projects.,Which projects appear stuck in their current stage?,as_of_date; stage_age_thresholds,"SELECT
    p.project_id,
    p.title AS project_name,
    ps.stage_name,
    p.update_date AS last_stage_update,

    DATEDIFF(:as_of_date, p.update_date) AS stage_age_days,

    p.rag,
    p.deal_value

FROM tbl_projects p

LEFT JOIN tbl_project_stages ps
ON p.project_stage_id = ps.stage_id

WHERE
    p.status = 1
    AND p.archive = 0
    AND DATEDIFF(:as_of_date, p.update_date) >= :stage_age_thresholds

ORDER BY
    stage_age_days DESC,
    p.deal_value DESC;",,Tool,get_stage_aging_projects,"Lists active projects sitting in the same delivery stage too long, with stage age in days. Params: as_of_date, stage_age_thresholds. Caveat: stage age derives from tbl_projects.update_date, which changes on any edit - a proxy, not a true stage-entry timestamp."
"Which active projects show no recent task, issue, risk, timesheet, or summary activity?",Find active projects that appear dormant.,Which projects have had no operational activity in the last :days days?,days; as_of_date,"SELECT
    p.project_id,
    p.title,

    GREATEST(

        IFNULL(MAX(pt.update_date),'1900-01-01'),

        IFNULL(MAX(pi.update_date),'1900-01-01'),

        IFNULL(MAX(r.update_date),'1900-01-01'),

        IFNULL(MAX(ts.post_date),'1900-01-01'),

        IFNULL(MAX(es.post_date),'1900-01-01'),

        p.update_date

    ) AS latest_activity

FROM tbl_projects p

LEFT JOIN tbl_project_tasks pt
ON p.project_id=pt.project_id

LEFT JOIN tbl_project_issues pi
ON p.project_id=pi.project_id

LEFT JOIN tbl_risk r
ON p.project_id=r.project_id

LEFT JOIN tbl_project_task_users ptu
ON pt.task_id=ptu.task_id

LEFT JOIN tbl_timesheets ts
ON pt.task_id=ts.task_id

LEFT JOIN tbl_project_executive_summary es
ON p.project_id=es.project_id

WHERE
p.status=1
AND p.archive=0

GROUP BY
p.project_id,
p.title,
p.update_date

HAVING

DATEDIFF(
:as_of_date,
latest_activity
)>=:days

ORDER BY
latest_activity;",,Tool,get_dormant_projects,"Lists active projects with no task, issue, risk, timesheet or executive-summary activity in the last N days, with the most recent activity date across all five. Use for projects that look abandoned. Params: days, as_of_date."
Which projects have open tasks due after the project end date?,Show project schedules that are internally inconsistent.,Which committed project dates are earlier than their remaining task deadlines?,as_of_date,"SELECT

p.project_id,

p.title,

p.end_date,

COUNT(pt.task_id) AS open_tasks,

MAX(pt.due_date) AS latest_due_date,

SUM(

CASE

WHEN pt.priority='High'

THEN 1

ELSE 0

END

) AS high_priority_tasks

FROM tbl_projects p

INNER JOIN tbl_project_tasks pt

ON p.project_id=pt.project_id

WHERE

p.status=1

AND p.archive=0

AND pt.status=1

AND pt.archive=0

AND pt.due_date>p.end_date

GROUP BY

p.project_id,

p.title,

p.end_date

ORDER BY

latest_due_date DESC;",,Tool,get_projects_with_late_tasks,"Lists projects with open tasks due after the project's own end date, with the latest task due date. Use for internally inconsistent schedules and commitment-date credibility. Params: as_of_date."
Which incomplete tasks are blocking the largest number of dependent tasks?,Rank overdue bottleneck tasks by downstream dependency count.,What tasks create the greatest delivery bottleneck?,project_identifier; as_of_date; top_n,,,Needs SQL (Tool),get_blocking_tasks,"Intended to rank incomplete tasks by how many dependent tasks they block. SQL NOT YET WRITTEN - no dependency data beyond the parent_id hierarchy is confirmed populated. Params: project_identifier, as_of_date, top_n. Closest available: get_task_subtasks."
Which projects contain the highest concentration of open High-priority or Red-RAG tasks?,Rank projects by critical task backlog.,Where is urgent delivery work concentrated?,as_of_date; top_n,"SELECT

p.project_id,

p.title,

COUNT(pt.task_id) AS total_open_tasks,

SUM(

CASE

WHEN pt.priority='High'

OR pt.rag='Red'

THEN 1

ELSE 0

END

) AS critical_tasks,

ROUND(

SUM(

CASE

WHEN pt.priority='High'

OR pt.rag='Red'

THEN 1

ELSE 0

END

)

/

NULLIF(COUNT(pt.task_id),0)

*100,

2

) AS critical_backlog_ratio,

MAX(

DATEDIFF(:as_of_date,pt.due_date)

) AS max_overdue_days

FROM tbl_projects p

INNER JOIN tbl_project_tasks pt

ON p.project_id=pt.project_id

WHERE

p.status=1

AND p.archive=0

AND pt.status=1

AND pt.archive=0

GROUP BY

p.project_id,

p.title

ORDER BY

critical_backlog_ratio DESC,

critical_tasks DESC

LIMIT :top_n;",,Tool,get_critical_task_backlog_projects,"Ranks projects by their concentration of open High-priority or Red-RAG tasks, with the critical ratio. Use for where urgent work is concentrated. Params: as_of_date, top_n. The task-level lists are get_high_priority_open_tasks and get_red_rag_tasks."
Which tasks are due within :days days but remain below :completion_percent complete?,Show near-term tasks at risk of missing due dates.,What upcoming work needs immediate action?,days; completion_percent; as_of_date; optional_project,"SELECT
    p.project_id,
    p.title AS project_name,
    t.task_id,
    t.reference_no,
    t.title AS task_name,
    t.priority,
    t.rag,
    t.estimate,
    t.estimate_complete,
    t.percent_complete,
    t.due_date,
    DATEDIFF(t.due_date, :as_of_date) AS days_remaining
FROM tbl_project_tasks t
INNER JOIN tbl_projects p ON t.project_id = p.project_id
WHERE
    t.status = 1
    AND t.archive = 0
    AND p.status = 1
    AND p.archive = 0
    AND t.percent_complete < :completion_percent
    AND t.due_date BETWEEN :as_of_date AND DATE_ADD(:as_of_date, INTERVAL :days DAY)
    AND p.title = :project_name
ORDER BY
    CASE t.priority                 -- was ORDER BY t.priority DESC: sorted by ENUM declaration order, not severity
        WHEN 'High' THEN 1
        WHEN 'Medium' THEN 2
        WHEN 'Low' THEN 3
        WHEN 'Default' THEN 4
        WHEN 'In Staging' THEN 5
        ELSE 6
    END,
    t.rag DESC,
    t.percent_complete ASC,
    t.estimate_complete DESC,
    t.due_date;",,Tool,get_at_risk_tasks,"Lists tasks due within N days that are still below a completion percentage, with days remaining. Use for near-term slippage prevention. Params: days, completion_percent, as_of_date, optional_project."
Which projects and tasks have the largest estimate-to-actual effort variance?,Rank task overruns across the portfolio.,Where are estimates least accurate?,period; top_n; actual_effort_source,"SELECT
    p.project_id,
    p.title AS project_name,
    t.task_id,
    t.reference_no,
    t.title AS task_name,

    CONCAT(u.first_name,' ',u.last_name) AS project_manager,

    c.client_name,

    t.estimate AS estimated_hours,

    ROUND(SUM(IFNULL(ts.hours,0)+(IFNULL(ts.minutes,0)/60)),2) AS actual_hours,

    ROUND(
        SUM(IFNULL(ts.hours,0)+(IFNULL(ts.minutes,0)/60))
        - t.estimate,
        2
    ) AS variance_hours,

    ROUND(
        (
            (
                SUM(IFNULL(ts.hours,0)+(IFNULL(ts.minutes,0)/60))
                - t.estimate
            )
            /
            NULLIF(t.estimate,0)
        )*100,
        2
    ) AS variance_percent

FROM tbl_project_tasks t

INNER JOIN tbl_projects p
ON t.project_id=p.project_id

LEFT JOIN tbl_users u
ON p.pm_user_id=u.user_id

LEFT JOIN tbl_clients c
ON p.client_id=c.client_id

LEFT JOIN tbl_timesheets ts
ON t.task_id=ts.task_id

WHERE

t.status=1
AND t.archive=0

AND p.status=1
AND p.archive=0

AND ts.timesheet_date BETWEEN '2026-08-01'
AND '2026-08-31'

GROUP BY

p.project_id,
p.title,
t.task_id,
t.reference_no,
t.title,
u.first_name,
u.last_name,
c.client_name,
t.estimate

ORDER BY
variance_hours DESC

LIMIT 20;",,Hold - Pending Clarification,get_effort_variance_ranking,"Intended to rank projects and tasks by estimate-to-actual effort variance. PENDING CLARIFICATION - whether actual effort comes from task actual_hours or timesheet sums is undecided, and the two disagree (see get_project_timesheet_vs_actual). Params: period, top_n, actual_effort_source."
"Which tasks show high completion percentages but little or no recent time logged, or heavy time logged with low completion?",Find task progress and effort inconsistencies.,Where does reported completion conflict with timesheet evidence?,period; completion_thresholds; hours_thresholds,"SELECT
    p.project_id,
    p.title AS project_name,
    t.task_id,
    t.reference_no,
    t.title AS task_name,
    t.priority,
    t.rag,
    t.estimate,
    t.percent_complete,

    ROUND(
        SUM(IFNULL(ts.hours,0) + (IFNULL(ts.minutes,0)/60)),
        2
    ) AS logged_hours,

    CASE

        WHEN
            t.percent_complete >= 80
            AND
            SUM(IFNULL(ts.hours,0) + (IFNULL(ts.minutes,0)/60)) < 10

        THEN 'High Completion / Low Time'

        WHEN
            t.percent_complete < 80
            AND
            SUM(IFNULL(ts.hours,0) + (IFNULL(ts.minutes,0)/60)) >= 10

        THEN 'Low Completion / High Time'

        ELSE 'Consistent'

    END AS mismatch_type

FROM tbl_project_tasks t

INNER JOIN tbl_projects p
ON t.project_id = p.project_id

LEFT JOIN tbl_timesheets ts
ON t.task_id = ts.task_id
AND ts.timesheet_date BETWEEN '2026-08-01'
AND '2026-08-31'

WHERE

t.status = 1
AND t.archive = 0

AND p.status = 1
AND p.archive = 0

GROUP BY

p.project_id,
p.title,
t.task_id,
t.reference_no,
t.title,
t.priority,
t.rag,
t.estimate,
t.percent_complete

HAVING mismatch_type <> 'Consistent'

ORDER BY

logged_hours DESC,
t.percent_complete DESC;",,Tool,get_completion_effort_mismatch_tasks,"Lists tasks whose reported completion conflicts with logged effort - high completion with little time booked, or heavy time booked with low completion. Use for progress-credibility checks. Params: period, completion_thresholds, hours_thresholds."
Which projects have a Green project RAG but a significant Red-task backlog?,Find mismatches between project health and task-level health.,Where may project RAG be understating delivery risk?,red_task_ratio_threshold; as_of_date,,,Needs SQL (Tool),get_green_rag_red_task_backlog_projects,"Intended to list projects reporting a Green RAG while carrying a significant Red-task backlog. SQL NOT YET WRITTEN. Params: red_task_ratio_threshold, as_of_date. Composable today from get_project_rag plus get_critical_task_backlog_projects."
Which projects have the highest percentage of open tasks without active assignees?,Rank projects by unassigned work.,Where is delivery work not owned?,as_of_date; minimum_open_tasks,"SELECT
    p.project_id,
    p.title AS project_name,

    CONCAT(u.first_name,' ',u.last_name) AS project_manager,

    COUNT(DISTINCT t.task_id) AS total_open_tasks,

    SUM(
        CASE
            WHEN ptu.user_id IS NULL THEN 1
            ELSE 0
        END
    ) AS unassigned_tasks,

    ROUND(
        (
            SUM(
                CASE
                    WHEN ptu.user_id IS NULL THEN 1
                    ELSE 0
                END
            )
            /
            NULLIF(COUNT(DISTINCT t.task_id),0)
        ) * 100,
        2
    ) AS unassigned_task_ratio

FROM tbl_projects p

INNER JOIN tbl_project_tasks t
    ON p.project_id = t.project_id
    AND t.status = 1
    AND t.archive = 0

LEFT JOIN tbl_project_task_users ptu
    ON t.task_id = ptu.task_id
    AND ptu.status = 1

LEFT JOIN tbl_users u
    ON p.pm_user_id = u.user_id

WHERE
    p.status = 1
    AND p.archive = 0

GROUP BY
    p.project_id,
    p.title,
    project_manager

HAVING
    COUNT(DISTINCT t.task_id) >= 5

ORDER BY
    unassigned_task_ratio DESC,
    unassigned_tasks DESC;",,Tool,get_unassigned_task_ratio_projects,"Ranks projects by the percentage of open tasks with no active assignee, with PM. Use for where delivery work is unowned. Params: as_of_date, minimum_open_tasks. The task-level list is get_unassigned_tasks."
Which active projects have the lowest acceptance-criteria coverage on open tasks?,Show projects with incomplete task acceptance criteria.,Where is scope validation weak?,as_of_date; minimum_task_count,"SELECT
    p.project_id,
    p.title AS project_name,
    p.deal_value,
    p.rag,

    COUNT(t.task_id) AS total_open_tasks,

    SUM(
        CASE
            WHEN t.acceptance_criteria IS NOT NULL
                 AND TRIM(t.acceptance_criteria) <> ''
            THEN 1
            ELSE 0
        END
    ) AS tasks_with_acceptance_criteria,

    SUM(
        CASE
            WHEN t.acceptance_criteria IS NULL
                 OR TRIM(t.acceptance_criteria) = ''
            THEN 1
            ELSE 0
        END
    ) AS tasks_missing_acceptance_criteria,

    ROUND(
        (
            SUM(
                CASE
                    WHEN t.acceptance_criteria IS NOT NULL
                         AND TRIM(t.acceptance_criteria) <> ''
                    THEN 1
                    ELSE 0
                END
            )
            /
            NULLIF(COUNT(t.task_id),0)
        ) * 100,
        2
    ) AS acceptance_criteria_coverage

FROM tbl_projects p

INNER JOIN tbl_project_tasks t
ON p.project_id = t.project_id

WHERE

p.status = 1
AND p.archive = 0

AND t.status = 1
AND t.archive = 0

GROUP BY

p.project_id,
p.title,
p.deal_value,
p.rag

HAVING

COUNT(t.task_id) >= 10

ORDER BY

acceptance_criteria_coverage ASC,
p.deal_value DESC,
p.rag DESC;",,Tool,get_low_acceptance_criteria_coverage_projects,"Ranks active projects by acceptance-criteria coverage on open tasks. Use for where scope validation is weak. Params: as_of_date, minimum_task_count."
Is the issue backlog increasing or decreasing by project over the last :months months?,Show issue creation versus closure trend.,Which projects are accumulating issues faster than they close them?,months; time_bucket,"SELECT
    p.project_id,
    p.title AS project_name,
    DATE_FORMAT(i.date_raised, '%Y-%m') AS period,
    COUNT(i.issue_id) AS issues_created,
    SUM(CASE WHEN s.status_type = 3 THEN 1 ELSE 0 END) AS issues_closed,      -- was date_closed IS NOT NULL, always-true due to zero-date default
    COUNT(i.issue_id) - SUM(CASE WHEN s.status_type = 3 THEN 1 ELSE 0 END) AS net_backlog_change,
    ROUND(
        (SUM(CASE WHEN s.status_type = 3 THEN 1 ELSE 0 END) / NULLIF(COUNT(i.issue_id), 0)) * 100,
        2
    ) AS closure_ratio
FROM tbl_project_issues i
INNER JOIN tbl_projects p ON i.project_id = p.project_id
LEFT JOIN tbl_project_issue_status s ON s.issue_status_id = i.issue_status_id
WHERE
    p.status = 1
    AND p.archive = 0
    AND i.date_raised >= DATE_SUB(:as_of_date, INTERVAL 6 MONTH)
GROUP BY p.project_id, p.title, DATE_FORMAT(i.date_raised, '%Y-%m')
ORDER BY period, project_name;",,Tool,get_issue_backlog_trend,"Returns per-project monthly issue creation against closure over the last N months, showing whether the backlog is growing. Params: months, time_bucket. Closure uses status_type, not date_closed, which stores zero-dates."
Which projects have the oldest unresolved issues and the slowest closure performance?,Rank projects by issue aging and time to close.,Where is issue resolution performance weakest?,as_of_date; period; minimum_issue_count,"SELECT
    p.project_id,
    p.title AS project_name,
    COUNT(i.issue_id) AS total_issues,
    SUM(CASE WHEN s.status_type != 3 THEN 1 ELSE 0 END) AS open_issues,
    ROUND(AVG(CASE WHEN s.status_type != 3 THEN DATEDIFF(:as_of_date, i.date_raised) END), 2) AS avg_open_issue_age,
    ROUND(AVG(CASE WHEN s.status_type = 3 THEN DATEDIFF(i.date_closed, i.date_raised) END), 2) AS avg_closure_days,
    ROUND(
        (SUM(CASE WHEN s.status_type = 3 THEN 1 ELSE 0 END) / NULLIF(COUNT(i.issue_id), 0)) * 100,
        2
    ) AS closure_rate
FROM tbl_project_issues i
INNER JOIN tbl_projects p ON i.project_id = p.project_id
LEFT JOIN tbl_project_issue_status s ON s.issue_status_id = i.issue_status_id
WHERE
    p.status = 1
    AND p.archive = 0
    AND (
        i.date_raised BETWEEN :range_start AND :as_of_date
        OR i.date_closed BETWEEN :range_start AND :as_of_date
    )
GROUP BY p.project_id, p.title
HAVING COUNT(i.issue_id) >= 5
ORDER BY avg_open_issue_age DESC, avg_closure_days DESC;",,Tool,get_slowest_issue_closure_projects,"Ranks projects by issue aging and closure performance, with average age of unresolved issues. Use for where issue resolution is slowest. Params: as_of_date, period, minimum_issue_count."
Which projects have the highest defect leakage from earlier origination phases into later detection phases?,Show defect leakage by project and phase.,Where are defects being found later than they should be?,period; phase_order_rule; minimum_issue_count,"SELECT

    p.project_id,
    p.title AS project_name,

    i.defect_origination_phase,
    i.defect_detection_phase,

    COUNT(i.issue_id) AS total_defects,

    SUM(
        CASE
            WHEN i.defect_detection_phase > i.defect_origination_phase
            THEN 1
            ELSE 0
        END
    ) AS leaked_defects,

    ROUND(
        (
            SUM(
                CASE
                    WHEN i.defect_detection_phase > i.defect_origination_phase
                    THEN 1
                    ELSE 0
                END
            )
            /
            NULLIF(COUNT(i.issue_id),0)
        )*100,
        2
    ) AS leakage_rate,

    SUM(
        CASE
            WHEN i.severity >= 3
            THEN 1
            ELSE 0
        END
    ) AS high_severity_defects

FROM tbl_project_issues i

INNER JOIN tbl_projects p
ON i.project_id = p.project_id

WHERE

p.status = 1
AND p.archive = 0

AND i.date_raised BETWEEN '2026-01-01'
AND '2026-08-11'

GROUP BY

p.project_id,
p.title,
i.defect_origination_phase,
i.defect_detection_phase

HAVING

COUNT(i.issue_id) >= 5

ORDER BY

leakage_rate DESC,
high_severity_defects DESC;",,Hold - Pending Clarification,get_defect_leakage_projects,"Intended to rank projects by defect leakage from earlier origination into later detection phases. PENDING CLARIFICATION - the SQL compares the two phase columns numerically, assuming a phase ordering that is not agreed. Params: period, phase_order_rule, minimum_issue_count."
Which overdue issues create the greatest commercial exposure?,Rank projects by overdue issue severity and deal value.,How much deal value is affected by overdue unresolved issues?,as_of_date; severity_weights; top_n,,,NL2SQL Candidate,get_overdue_issue_commercial_exposure,"Intended to rank overdue issues by the commercial exposure they create. NO FIXED SQL - NL2SQL candidate: severity weighting against deal value is caller-defined and the severity scale is still open (see get_high_severity_issues). Params: as_of_date, severity_weights, top_n."
"Which overdue or closed high-severity issues are missing RCA, correction, or corrective-action details?",Show issue governance records that are incomplete.,Which major defects lack documented root-cause and prevention actions?,severity_threshold; as_of_date,"SELECT
    p.project_id,
    p.title AS project_name,
    CONCAT(u.first_name,' ',u.last_name) AS project_manager,
    c.client_name,
    i.issue_id,
    i.reference_no,
    i.title AS issue_title,
    i.severity,
    i.date_raised,
    i.date_closed,
    i.planned_closure_date,
    CASE
        WHEN s.status_type != 3 AND i.planned_closure_date <> '0000-00-00 00:00:00' AND i.planned_closure_date < :as_of_date THEN 'Overdue'
        WHEN s.status_type = 3 THEN 'Closed'
        ELSE 'Open'
    END AS issue_status,
    i.rca,
    i.correction,
    i.corrective_action
FROM tbl_project_issues i
INNER JOIN tbl_projects p ON i.project_id = p.project_id
LEFT JOIN tbl_users u ON p.pm_user_id = u.user_id
LEFT JOIN tbl_clients c ON p.client_id = c.client_id
LEFT JOIN tbl_project_issue_status s ON s.issue_status_id = i.issue_status_id
WHERE
    p.status = 1
    AND p.archive = 0
    AND i.severity >= 3
    AND (
        (s.status_type != 3 AND i.planned_closure_date <> '0000-00-00 00:00:00' AND i.planned_closure_date < :as_of_date)
        OR s.status_type = 3
    )
    AND (
        i.rca IS NULL OR i.rca = 0
        OR i.correction IS NULL OR TRIM(i.correction) = ''
        OR i.corrective_action IS NULL OR TRIM(i.corrective_action) = ''
    )
ORDER BY i.severity DESC, i.planned_closure_date, p.title;",,Hold - Pending Clarification,get_incomplete_governance_issues,"Intended to list overdue or closed high-severity issues missing RCA, correction or corrective-action detail. PENDING CLARIFICATION - the severity threshold defining high is not agreed. Params: severity_threshold, as_of_date. Confirm before running the published SQL."
Which projects have the highest current risk exposure?,Rank projects by probability-impact exposure.,Where is portfolio risk concentrated today?,as_of_date; exposure_formula; top_n,,,Needs SQL (Tool),get_highest_risk_exposure_projects,"Intended to rank projects by current risk exposure. SQL NOT YET WRITTEN - the exposure formula (probability x impact, summed rating, or the app's >=20 / 12-19 / <12 banding) is an open decision (C-12). Params: as_of_date, exposure_formula, top_n. Ask which formula to use."
"Which risks remain high after mitigation, and which risks have not improved?",Compare original and residual risk scores.,Where has mitigation failed to reduce exposure?,as_of_date; residual_threshold,"SELECT
    p.project_id,
    p.title AS project_name,

    r.risk_id,
    r.reference_no,
    r.title AS risk_title,

    r.rating AS original_risk_score,
    r.after_mitigation_risk_score AS residual_risk_score,

    r.probability_id,
    r.impact_id,

    r.revised_probability,
    r.revised_impact,

    r.owner_id,

    CASE

        WHEN r.after_mitigation_risk_score >= 15
        THEN 'High Residual Risk'

        WHEN r.after_mitigation_risk_score >= r.rating
        THEN 'No Improvement'

        WHEN r.after_mitigation_risk_score < r.rating
        THEN 'Improved'

        ELSE 'Unknown'

    END AS mitigation_status

FROM tbl_risk r

INNER JOIN tbl_projects p
ON r.project_id=p.project_id

WHERE

p.status=1
AND p.archive=0

AND r.status=1

AND
(
        r.after_mitigation_risk_score>=15

        OR

        r.after_mitigation_risk_score>=r.rating
)

ORDER BY

r.after_mitigation_risk_score DESC,
r.rating DESC;",,Hold - Pending Clarification,get_high_residual_risk,"Intended to list risks still high after mitigation and those whose score has not improved, comparing rating with after_mitigation_risk_score. PENDING CLARIFICATION - the residual threshold and the not-improved rule are not agreed. Params: as_of_date, residual_threshold."
Which overdue open risks threaten the greatest project value?,Rank overdue risks by exposure and deal value.,How much commercial value is linked to overdue risk actions?,as_of_date; top_n,,,Needs SQL (Tool),get_overdue_risks_by_project_value,"Intended to rank overdue open risks by the deal value of the projects they threaten. SQL NOT YET WRITTEN, and it depends on the unresolved risk-exposure formula (C-12). Params: as_of_date, top_n. Available today: get_overdue_open_risks, without value weighting."
Which risk owners carry the largest concentration of high-exposure or overdue risks?,Rank risk owners by unresolved exposure.,Who needs support or escalation for risk closure?,as_of_date; top_n,"SELECT
    u.user_id,
    CONCAT(u.first_name, ' ', u.last_name) AS risk_owner,
    SUM(CASE WHEN s.status_type != 2 THEN 1 ELSE 0 END) AS open_risks,          -- was COUNT(r.risk_id): counted closed risks too
    SUM(r.rating) AS total_risk_exposure,
    SUM(CASE WHEN r.target_closure_date < :as_of_date AND s.status_type != 2 THEN 1 ELSE 0 END) AS overdue_risks,  -- was r.date_closed IS NULL, always-false due to zero-date default
    ROUND(AVG(DATEDIFF(:as_of_date, r.date_raised)), 2) AS avg_open_age,
    COUNT(DISTINCT p.project_id) AS affected_projects,
    SUM(p.deal_value) AS total_deal_value
FROM tbl_risk r
INNER JOIN tbl_users u ON r.owner_id = u.user_id
INNER JOIN tbl_projects p ON r.project_id = p.project_id
LEFT JOIN tbl_risk_status s ON s.status_id = r.status_id
WHERE
    r.status = 1
    AND p.status = 1
    AND p.archive = 0
GROUP BY u.user_id, risk_owner
ORDER BY total_risk_exposure DESC, overdue_risks DESC, avg_open_age DESC
LIMIT 10;",,Tool,get_risk_owner_concentration,"Ranks risk owners by their load of open, high-exposure or overdue risks, using summed rating as exposure. Use for escalation routing. Params: as_of_date, top_n. Open is status_type != 2 (1=Open, 2=Closed). For risks with no owner use get_risks_without_owner."
